cod,razao,fantasia,endereco,numero,bairro,cidade,uf,vendedores,lat,lng,precisao
18099,RAIMUNDO CERICO SILVA,RAIMUNDO CERICO SILVA,R.CUIABA,92,CENTRO,SAO JOAO BATISTA DO GLORIA,MG,12;22;45;65,-20.6375755,-46.5071323,rua
18115,JOAO QUINTILIANO FERREIRA NETO,JOAO QUINTINO F NETO,RUA BLUMENAL,30,SAO JOSE,SAO GONCALO DO SAPUCAI,MG,29;67;157;167,-21.8905238,-45.5935943,cidade
18149,REST.SAO LOURENCO LTDA ME,REST.KI BELEZA,AV.DOM PEDRO II,643,CENTRO,SAO LOURENCO,MG,39;43;85,-22.1162904,-45.057138,rua
18160,JOSE DE OLIVEIRA SILVA,PAD/MERC,R.CAP.MOR TOME RODRIGUES,514,CENTRO,BAEPENDI,MG,55;58;93,-21.9547951,-44.8878451,rua
18165,DOCERIA CARA MELADA LTDA,CARAMELADA,AVE CORONEL ALFREDO CUSTODIO DE PAULA,110,CENTRO,POUSO ALEGRE,MG,184,-22.2343858,-45.9327241,cidade
18167,MARLENE MARIA MIGUEL REIS,MARLENE MARIA MIGUEL REIS,R.EMILIA BATISTA LOPES,281,VILA  AGRENY,PIUMHI,MG,13;57;166,-20.4607111,-45.9622546,rua
18218,ELISANGELA LAGO RIBEIRO MORAIS,SM.ELIS MART,RUA JOAO TEIXEIRA MENDES,205,NOSSA SENHORA APARECIDA,PASSOS,MG,12;22;45;65,-20.7500021,-46.6068254,rua
18223,ONOFRE RIBEIRO DE CARVALHO ME,POSTO NETINHO,R.DR.BERNARDINO VIEIRA,376,CENTRO,CONCEICAO DA APARECIDA,MG,3;37;100;161,-21.0948102,-46.2017389,rua
18266,VANTUIL LUCIANO DE MACEDO,M.MERC.MACEDO,RUA DA FLORESTA,880,CRUZEIRO,ITAJUBA,MG,183,-22.4167398,-45.4436918,rua
18270,AGNALDO BENEDITO RIBEIRO,AGNALDO BENEDITO RIBEIRO,R.DA FLORESTA,33,CRUZEIRO,ITAJUBA,MG,88;92;94;155,-22.4164538,-45.4412579,rua
18278,SERGIO EUSTAQUIO LEMES,SERGIO EUSTAQUIO LEMES,R.JOSE GOMES BUSTAMANTE,59,MORRO CHIC,ITAJUBA,MG,88;92;94;155,-22.4188228,-45.4606847,rua
18282,JOAO BATISTA DE OLIVEIRA,JOAO BATISTA DE OLIVEIRA,R. 7 DE SETEMBRO,120,CENTRO,BRASOPOLIS,MG,14;36;62;80,-22.4742842,-45.6165577,cidade
18297,ZHU ZONGLIANG,LANCH.SOB NOVA DIRECAO,PC.DR.PEREIRA DOS SANTOS,03,CENTRO,ITAJUBA,MG,92;94;155;183,-22.4251391,-45.4587774,rua
18314,SIMONE VALQUIRIA PEREIRA,SUPERMERCADO MASSELLI,RUA VINTE,20,ACUDE,ITAJUBA,MG,88,-22.4287005,-45.4984543,rua
